A1,A2,A3,A4,A5,A6,A7,A8,A9,label
524.7940719572,0.1874483617,0.0321140582,228.8002278843,6843.5984811891,29.9108027316,60.2048797607,220.7372120052,556.828334181,1
330,0.2268928028,0.2652900463,121.1542006708,3163.2394719946,26.1092017815,69.7173614502,99.0849640003,400.2257759827,1
551.8792873985,0.2324778564,0.0635299848,264.80493543,11888.3918269139,44.8949027616,77.793296814,253.7852997781,656.7694494025,1
380,0.2408554368,0.2862339973,137.6401108553,5402.1711804018,39.2485238993,88.7584457397,105.1985680477,493.7018135024,1
362.83126591,0.200712864,0.2443460953,124.9125593692,3290.4624462766,26.3421265475,69.3893890381,103.8665518819,424.7965033868,1
389.8729777095,0.1500983157,0.0977384381,118.6258142706,2475.557077623,20.8686203154,49.7571487427,107.6861641614,429.3857878604,1
290.4551411532,0.1441641962,0.0530580093,74.6350666441,1189.5452129019,15.9381543608,35.7033309937,65.5413244609,330.2672928957,1
275.6773933601,0.15393804,0.1877974275,91.5278933393,1756.2348373883,19.1879739969,39.3051834106,82.6586821528,331.5883016673,1
470,0.2131047017,0.2254965394,184.5900565767,8185.3608372261,44.3434548373,84.4824829102,164.1225107308,603.3157150786,1
423,0.2195624199,0.2617993878,172.371241023,6108.1062965247,35.4357621392,79.056350708,153.1729028745,558.274515328,1
410,0.3178244568,0.2974041045,255.8151790765,10622.5471101291,41.5243033993,67.5232086182,246.7428255438,508.5403560169,1
500,0.2272418686,0.0509636142,219.2955022803,9819.4496142339,44.7772503865,76.8684997559,207.2666404204,602.5278406267,1
438.7801572296,0.21240657,0.060737458,120.9015964126,4879.4955758694,40.3592319759,80.7917785645,89.9437864191,525.4201494351,1
366.9423790985,0.2801253449,0.252025544,172.7455537387,7064.8159090557,40.8972373306,75.6043243408,155.3222849252,471.5881953798,1
485.6688054544,0.2302089283,0.1340412866,253.8936986073,8135.968359074,32.0447825358,64.8554458618,245.4705306437,541.363975057,1
390,0.3583160954,0.2038544566,245.6861030662,10055.83687254,40.929612001,70.3247833252,236.4901696665,477.5483599605,1
269.4959462918,0.2075196481,0.0383972435,80.4110854818,1963.6052480989,24.4195838961,44.7401542664,66.8383093174,329.0906470766,1
300,0.1900663555,0.1668534765,97.1081295111,3039.5613030204,31.3007913789,51.3539733887,82.4181920286,387.0782275399,1
325,0.2246238747,0.286932129,229.2158633923,5705.3320895085,24.8906511315,35.6027145386,227.2647937395,462.7030069339,1
294.4748456196,0.2066469834,0.4677482395,194.8710353479,5541.2561262519,28.4355041084,36.7657966614,191.8048904696,445.5132993662,1
500,0.1926843494,0.1947787445,144.6885779146,3055.0129631204,21.114403135,96.563369751,107.751102979,542.897088892,1
211,0.0539306739,0.0942477796,30.7534434583,151.9845775553,4.9420344672,14.2683744431,27.24312366,217.1307040276,2
196.856714179,0.0200712864,0.0907571211,28.5931261347,82.0588885292,2.8698816682,7.9687833786,27.6615159531,200.7493364347,2
245,0.189019158,0.081681409,62.9029550923,1235.9833558899,19.6490507334,42.152015686,46.6903554272,292.3762384463,2
352.6564467782,0.1219985147,0.0907571211,68.5278463867,1066.1578463393,15.558023527,43.6919250488,52.7928166702,382.7331865355,2
243.2939757359,0.0399680399,0.0670206433,68.5447777184,383.9284530426,5.6011335338,9.9913482666,67.8166557187,263.640761308,2
259.8851450408,0.0706858347,0.006981317,58.243807276,465.0872650386,7.9851796575,17.5068378448,56.3402407903,267.5174460284,2
250,0.0680678408,-0.0153588974,57.1724311623,652.9013493691,11.4198633169,17.7769813538,55.79126957,278.3086151587,2
200,0.0376991118,0.1172861257,42.3166752875,220.810906646,5.2180589601,10.6757640839,40.9478822685,218.0343130907,2
355,0.0640535835,0.0844739358,89.5584634547,1033.8542450686,11.5439033363,27.5626621246,86.5765610935,372.0399565985,2
272,0.0914552528,0.0048869219,63.7893803122,718.946310198,11.2706269708,20.0855560303,60.6907291188,286.920220324,2
341.6200131082,0.0919788516,0.0740019603,85.0430285558,1370.8380678239,16.1193467719,29.028968811,79.935196807,385.1334598423,2
160.3224525104,0.1769763862,0.163362818,37.2171240005,341.8814622363,9.1861333034,30.8891639709,20.759910398,187.5665182431,2
301.3043992291,0.10978121,0.0356047167,64.6161999261,942.7731906338,14.5903533744,29.0456771851,57.7200304355,335.7684587866,2
155,0.1727875959,0.1186823891,38.940168406,415.1116010235,10.6602415453,25.8365020752,29.134376179,184.8170409368,2
144,0.1206022513,0.0460766923,19.6476695229,70.4262388067,3.5844576236,18.1310138702,7.569493117,160.3737702928,2
178,0.1708677338,0.2129301687,41.5421667585,489.4405204763,11.7817764134,35.747795105,21.1623933118,215.9059341715,3
195,0.1391027414,0.20525072,37.4621956231,328.384051619,8.7657449372,35.0238265991,13.2946502587,232.5876276733,3
435.0931666481,0.07696902,0.1612684229,123.5975375889,1342.2776475808,10.8600678765,37.3847236633,117.8080379332,433.2023221434,3
250,0.0471238898,0.013962634,70.9070400207,224.1457873421,3.1611217628,9.1021757126,70.320400449,232.2776288185,3
339.5085476096,0.0453785606,0.0300196631,88.6298094262,331.0803904377,3.7355421678,19.8255805969,87.6211804354,307.7931936632,3
236,0.1246165086,0.2017600615,48.4511296285,236.8801114611,4.8890523973,36.0066223145,32.4196702591,244.9651545602,3
481.4671493322,0.0785398163,0.0160570291,79.0591615565,1154.3382385593,14.6009420772,33.9291305542,71.408439192,501.8933575844,3
252,0.1061160185,0.0314159265,38.5442095271,493.7904229154,12.8110143903,25.5411453247,28.8670396589,280.65829935,3
172.5157972533,0.1272345025,0.0383972435,37.5436732244,192.2181478854,5.1198545954,19.3220806122,32.1898208105,174.9337699538,3
121,0.1741838593,0.0907571211,24.4371804081,144.4665132032,5.911750488,22.0210800171,10.5947082078,141.7661848939,3
196.3648643227,0.1829105056,0.142418867,54.583080277,843.2625274855,15.4491560976,34.1494140625,42.5808653465,239.944072785,3
370.3957246909,0.1047197551,0,115.9232531157,1308.1204304417,11.284366124,31.3670310974,112.715101601,365.9776512618,3
260.2775210255,0.0790634151,0.0328121899,58.8176114077,277.2590342852,4.7138778276,17.8686695099,56.0376840227,248.6234122408,3
544.6543494729,0.0637045177,0.0020943951,100.7880802493,1189.290233286,11.7999095761,29.4122219086,96.5801499813,553.3582098767,3
310,0.1747074581,0.1654572131,98.5099614229,2741.0320443757,27.8249225234,49.3278617859,85.270009838,388.9778083603,3
274.99339586,0.1471312559,0.1375319451,66.4579430417,1217.4156510031,18.3185875951,40.8496780396,52.4210077296,327.5586387041,3
281.3232629077,0.2323033234,0.4377285764,157.8841811867,5305.1232060811,33.6013599729,46.3843345642,150.9168917359,398.8955488424,3
327,0.1410226036,0.0844739358,76.2128681277,1664.6740761276,21.8424278868,43.2216911316,62.7717028567,379.261838625,3
470.5164201366,0.1274090354,0.0663225116,150.2240222783,2657.9103674885,17.6929783079,47.5606307983,142.4964679752,491.4724884651,4
223,0.1240929098,0.0795870139,33.0963349781,197.0125405291,5.9526996164,30.4548740387,12.9563896614,252.4833478365,4
152,0.1658062789,0.2275909345,34.2195504039,94.354327958,2.7573222571,31.2792778015,13.8774777297,180.6095533186,4
303,0.0633554518,0.0397935069,22.5678927048,102.5003089897,4.5418644235,21.8308410645,5.7205006289,321.646837362,4
250,0.0870919297,0.0928515162,29.6375102856,180.7612437575,6.0990697942,26.1420974731,13.9632632319,280.1229064263,4
197,0.1326450232,0.0740019603,33.4606529676,409.6471412714,12.2426523376,26.9928073883,19.7738131904,231.7837876143,4
197,0.1326450232,0.0740019603,33.4606529676,409.6471412714,12.2426523376,26.9928073883,19.7738131904,231.7837876143,4
216.4132572942,0.1178097245,0.0684169067,53.5996000209,280.4454864735,5.2322309563,22.7905349731,48.5129740146,215.3729200694,4
178,0.1495747169,0.0991347015,40.2906209757,474.4046992996,11.7745690637,25.9208278656,30.8454992657,209.1807379131,4
185,0.1497492498,0.0851720675,39.8914092245,361.747980316,9.0683178997,26.8607616425,29.4927795403,210.1787188199,4
391,0.0581194641,0.0111701072,35.7800613436,265.1497896321,7.4105459766,22.1314716339,28.1142444882,400.9948178256,4
502,0.065275314,0.027925268,53.2394329932,834.2727305445,15.6702031491,33.3311424255,41.5147222365,544.0394144713,4
176,0.0898844565,0.0767944871,20.5885241068,79.7054245831,3.8713520294,18.2264919281,9.5750878548,191.9928785117,4
145,0.1176351916,0.1103048087,21.2189421288,82.4555615648,3.8859412059,20.3030815125,6.1667151899,162.5109272172,4
124.1287282354,0.1319468915,0.1089085453,20.5926329443,78.3427938378,3.8044087927,18.4623985291,9.1212056109,134.8926969829,4
103,0.1581268302,0.2918190509,23.754811344,78.2584737249,3.2944262361,22.3236026764,8.1208260291,124.9785610053,4
1724.0898944487,0.0527089434,-0.020943951,404.1262083188,3053.9668898369,7.5569632134,71.4275894165,399.1942440827,1489.3867124079,5
1385.6647213356,0.0923279174,0.0893608577,202.480043717,8785.0287327512,43.3871337218,143.0921936035,143.2577800188,1524.6092039901,5
1084.2470372215,0.0734783615,0,191.8979532327,2937.9715445225,15.3100723329,66.5636291504,179.9836313497,1064.1038276399,5
649.3693973479,0.1075122819,0.0188495559,207.1116914337,3344.432677502,16.1479666085,50.5474700928,200.848714465,623.9088141112,5
1500,0.0565486678,0.0502654825,375.0966032873,4759.4545463877,12.6886100932,78.4459762573,366.8019778992,1336.1585337698,5
770,0.0416283304,0.0024345501,175.0196843412,346.0913114677,1.9774422104,25.2223300934,173.1927365629,654.7984187661,5
650,0.0410152374,0.1452113938,216.8113304443,427.5340678903,1.9719175516,33.7651634216,214.1659795454,528.6992332511,5
691.9720314285,0.0260054059,0.0865683309,190.6766918987,304.2707181313,1.5957415408,23.9757175446,189.1633309024,594.3156255552,5
1461.7503424331,0.0408407045,0.0495673508,391.8460234008,5574.0028199661,14.2249824857,57.2314796448,387.6439908583,1428.8399755134,5
1496.7360544463,0.1038470905,0.0823795407,640.2759503982,11071.9977976663,17.292540491,108.2869186401,631.052482108,1178.274277509,5
1111.8140678207,0.0987856357,0.0712094335,386.9870937242,7659.7421335884,19.7932754291,86.0251235962,377.3045041864,990.978913442,5
1270.6667173341,0.0788888822,0.0656243799,555.3523181509,3612.9683325109,6.5057229698,68.7816696167,551.0764734023,895.1874406109,5
1647.9398111586,0.0809832773,0.0865683309,576.7703763685,11852.4850634255,20.5497465699,111.4359130859,565.9029104183,1402.8777374758,5
1535.8507395877,0.0884881931,0.0041887902,637.3496743714,10814.0501683075,16.9672169033,96.6103973389,632.1651151578,1197.7621500369,5
2100,0.0619591884,-0.0453785606,390.4825067441,16640.7236193443,42.6157979729,125.9004135132,380.644703446,2073.0286853636,6
1800,0.0342084533,0.0425860337,301.0603508989,4406.1543313109,14.6354520552,67.625328064,293.3669201065,1742.3757016886,6
2100,0.1216494489,0.3776892501,450.5516668163,35671.6062867034,79.1731757176,436.0996398926,113.1985701121,2461.4504966686,6
1666.1487855641,0.0123918377,0.0584514737,72.9310502943,1402.2316649584,19.2268129871,51.8547668457,58.595762951,1746.5775035735,6
1700,0.0439822972,0.1051268014,120.6530096363,12331.1030943741,102.2030294275,120.2973175049,-9.2576964639,2212.1781964657,6
1949.1181546753,0.0517983105,0.016500689,170.3314948528,3212.0770546743,18.8577987732,101.4558486938,136.8193285925,1941.3673831863,6
1850,0.0791491625,0.0694701804,253.6214550606,13113.2030948392,51.7038398494,160.0654602051,196.7304979641,1916.9853650897,6
2350,0.0815068761,0.2715732316,515.2894771025,27758.6402610935,53.8699924889,289.5690612793,426.2311599176,2457.6767356259,6
1800,0.0919788516,0.20525072,362.8633212991,15021.5538883288,41.397278277,217.8339691162,290.2036402901,1893.6637123933,6
1900,0.0544542727,0.1137954672,272.6180288705,7481.5934698544,27.4435021809,138.3592681885,234.8984958066,1924.5178953496,6
1800,0.0691150384,0.1570796327,385.564704349,13831.7248887707,35.8739395301,157.5700073242,351.8974774277,1823.0323641657,6
1850,0.0733038286,0.2254965394,325.1915422642,8644.9842366383,26.5842837623,208.7399749756,249.3534862595,1908.177238665,6
1650,0.0476474886,0.0432841654,274.4261774962,5824.8951915781,21.2257272419,81.2395706177,262.1256558773,1603.0703476207,6
2800,0.0830776724,0.184306769,583.2592574834,31388.6528822211,53.8159531623,298.5829772949,501.0384943822,2896.5824833035,6
2329.8401379049,0.0661479787,0.3532546406,377.2533677978,25369.0399246382,67.2466890693,336.0751647949,171.3872267703,2686.4353462708,6
2400,0.0841248699,0.2206096175,596.0419555114,37939.2555708483,63.6519882871,261.3481750488,535.6894085687,2447.7723534764,6
2000,0.0671951762,0.1242674427,330.2716456314,15381.0976865603,46.571051103,169.1979827881,283.639564377,2063.0732120677,6
2000,0.1069886831,0.1054178868,520.2226492052,40087.9209837665,77.0591611976,204.09034729,478.5172231615,2088.6488701693,6
2600,0.2005383311,0.2080432468,1063.4414274728,174480.476217939,164.0715433031,418.687286377,977.5523672434,2664.5836230562,6
1600,0.0719075652,-0.0663225116,436.9436030304,12655.342134564,28.9633308436,103.7327041626,432.1297489466,1475.3715337125,6
2300,0.0450294947,0.1368338134,185.4460437168,5086.2924971704,27.4273443382,178.6917419434,49.593290224,2480.592151132,6
2600,0.069987703,0.0488692191,745.4743691927,39845.7736975332,53.4502262508,154.1226043701,729.3683950429,2545.4197444546,6
