A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
-0.55303,-0.46692,-0.06821,0.77111,-0.01011,0.55738,-0.21837,0.22859,-0.49418,-0.43693,1,2,2,2,2,2,2,2,2,2,2
-0.46432,-0.44234,-0.08051,0.54111,-0.05912,0.75087,-0.20136,0.21578,-0.32101,-0.22497,2,1,2,2,2,2,2,2,2,2,2
-0.12113,-0.31695,-0.53282,-0.13556,-0.28247,0.51439,-0.34830,0.32771,-0.44969,0.06047,2,2,1,2,2,2,2,2,2,2,2
-0.16861,-0.02867,-0.49282,0.34500,-0.45730,0.19886,-0.34014,0.03034,0.04175,-0.42458,2,2,2,1,2,2,2,2,2,2,2
-0.25704,0.01197,-0.15846,0.37278,-0.75038,0.01170,0.31361,-0.22927,0.29363,-0.16515,3,3,3,3,1,2,3,3,3,3,3
-0.32926,0.00441,-0.11179,0.24111,-0.72764,0.06924,0.19320,-0.29400,0.26694,-0.14499,2,2,2,2,2,1,2,2,2,2,2
-0.50839,0.19660,0.05333,0.36500,-0.93330,0.09896,0.26463,0.17532,0.36208,-0.14564,2,2,2,2,2,2,1,2,2,2,2
-0.63890,0.12760,0.33897,0.76667,-0.84234,-0.09643,-0.25034,0.54080,0.49760,-0.10338,2,2,2,2,2,2,2,1,2,2,2
-0.61587,0.06805,-0.20615,0.16500,-0.26630,0.59026,-0.30272,0.49764,-0.01027,-0.18986,2,2,2,2,2,2,2,2,1,2,2
-0.55559,-0.02773,-0.43128,0.65944,0.10763,0.52577,-0.27143,0.34525,0.14511,-0.45124,2,2,2,2,2,2,2,2,2,1,2
-0.38044,-0.05072,-0.30974,0.19222,-0.34664,0.40500,-0.34558,0.32974,0.09172,-0.44278,2,2,2,2,2,2,2,2,2,2,1
-0.55701,-0.48110,-0.03231,0.73000,-0.03739,0.64464,-0.19456,0.23399,-0.44148,-0.43628,1,2,2,2,2,2,2,2,2,2,2
-0.43873,-0.46125,-0.16564,0.54000,-0.05205,0.73949,-0.22313,0.37829,-0.42574,-0.12029,2,1,2,2,2,2,2,2,2,2,2
-0.12539,-0.29805,-0.56154,-0.15000,-0.28095,0.54031,-0.38163,0.35266,-0.51403,0.07477,2,2,1,2,2,2,2,2,2,2,2
-0.17344,-0.03655,-0.49692,0.32778,-0.41081,0.03825,-0.15442,-0.12947,0.18549,-0.40182,2,2,2,1,2,2,2,2,2,2,2
-0.24055,0.07687,-0.24974,0.30111,-0.71703,0.17610,0.17347,-0.15981,0.31554,-0.31925,2,2,2,2,1,2,2,2,2,2,2
-0.32187,0.03245,-0.10308,0.22778,-0.76857,0.12235,0.21224,-0.30142,0.27926,-0.20546,3,3,3,3,2,1,3,3,3,3,3
-0.53682,0.14934,0.09179,0.42833,-0.91208,-0.07872,0.27619,0.11126,0.38809,-0.07607,2,2,2,2,2,2,1,2,2,2,2
-0.64174,0.11027,0.34051,0.76722,-0.88833,-0.11287,-0.24830,0.57653,0.51335,-0.09818,2,2,2,2,2,2,2,1,2,2,2
-0.59397,0.02331,-0.34000,0.11944,-0.25366,0.47961,-0.04558,0.22792,0.37235,-0.28479,2,2,2,2,2,2,2,2,1,2,2
-0.56270,-0.02804,-0.44513,0.68333,0.09702,0.52261,-0.26259,0.37424,0.05886,-0.38427,2,2,2,2,2,2,2,2,2,1,2
-0.35599,-0.07908,-0.32308,0.22056,-0.38454,0.35062,-0.33673,0.48011,0.05613,-0.45514,2,2,2,2,2,2,2,2,2,2,1
-0.56042,-0.49244,-0.05333,0.77778,-0.02324,0.59469,-0.19864,0.25624,-0.35866,-0.45449,1,2,2,2,2,2,2,2,2,2,2
-0.41825,-0.47007,-0.22256,0.45333,-0.07580,0.74328,-0.10068,0.35941,-0.23272,-0.18401,2,1,2,2,2,2,2,2,2,2,2
-0.11686,-0.27253,-0.59897,-0.08889,-0.20718,0.51122,-0.39592,0.35064,-0.48118,-0.00585,2,2,1,2,2,2,2,2,2,2,2
-0.17572,-0.04852,-0.49897,0.34889,-0.42547,0.12362,-0.28639,0.01214,0.12663,-0.45839,2,2,2,1,2,2,2,2,2,2,2
-0.26756,0.07782,-0.30359,0.28889,-0.63618,0.22099,-0.00272,-0.04855,0.19918,-0.35306,2,2,2,2,1,2,2,2,2,2,2
-0.33921,0.07278,-0.15026,0.16167,-0.71198,0.04584,0.35034,-0.38570,0.24572,-0.16905,3,3,3,3,2,1,3,3,3,3,3
-0.55189,0.11027,0.07333,0.34500,-0.78070,-0.39741,0.49796,0.06136,0.33881,0.09038,2,2,2,2,2,2,1,2,2,2,2
-0.65169,0.13390,0.32769,0.69000,-0.94290,-0.10718,-0.18844,0.54821,0.49144,-0.06697,2,2,2,2,2,2,2,1,2,2,2
-0.57378,-0.02647,-0.32513,0.14222,-0.31278,0.60228,-0.19048,0.49225,0.21287,-0.14109,2,2,2,2,2,2,2,2,1,2,2
-0.58175,-0.02142,-0.43436,0.66444,0.09955,0.56687,-0.30544,0.34862,-0.01164,-0.24707,2,2,2,2,2,2,2,2,2,1,2
-0.33125,-0.08601,-0.30923,0.21000,-0.40424,0.40752,-0.36803,0.51652,-0.03559,-0.38036,2,2,2,2,2,2,2,2,2,2,1
-0.54876,-0.50252,-0.08769,0.75944,-0.02324,0.58773,-0.14014,0.25017,-0.29090,-0.45579,1,2,2,2,2,2,2,2,2,2,2
-0.38897,-0.48803,-0.27385,0.37222,-0.10460,0.78691,-0.09728,0.40863,-0.14100,-0.10208,2,1,2,2,2,2,2,2,2,2,2
-0.11004,-0.26780,-0.63641,0.01111,-0.18696,0.45179,-0.34626,0.36750,-0.48871,-0.01951,2,2,1,2,2,2,2,2,2,2,2
-0.16918,-0.01733,-0.55333,0.33111,-0.36786,0.18874,-0.32789,0.00405,0.05613,-0.43693,2,2,2,1,2,2,2,2,2,2,2
-0.29286,0.05261,-0.31026,0.29556,-0.50985,0.26842,-0.14218,-0.01214,0.09856,-0.32965,2,2,2,2,1,2,2,2,2,2,2
-0.37560,0.10460,-0.18564,0.10167,-0.59778,-0.12615,0.46054,-0.43291,0.12799,-0.00910,2,2,2,2,2,1,2,2,2,2,2
-0.53028,0.07120,0.04718,0.36778,-0.81708,-0.25071,0.41701,0.08833,0.40726,0.01560,2,2,2,2,2,2,1,2,2,2,2
-0.67671,0.12004,0.35333,0.64722,-0.74027,-0.50111,0.19660,0.04181,0.63450,0.17360,2,2,2,2,2,2,2,1,2,2,2
-0.54706,-0.10208,-0.30923,0.17111,-0.29965,0.56118,-0.21769,0.60418,0.26489,-0.15995,2,2,2,2,2,2,2,2,1,2,2
-0.56668,-0.03655,-0.54154,0.67333,0.13694,0.42902,-0.10748,0.16925,0.24504,-0.37191,2,2,2,2,2,2,2,2,2,1,2
-0.28320,-0.07813,-0.37128,0.15722,-0.41233,0.44483,-0.35782,0.54956,-0.10335,-0.25943,2,2,2,2,2,2,2,2,2,2,1
-0.53995,-0.50725,-0.12564,0.73111,-0.01364,0.57951,-0.04762,0.20432,-0.23272,-0.50975,1,2,2,2,2,2,2,2,2,2,2
-0.38442,-0.47669,-0.32205,0.30500,-0.12026,0.77932,-0.08095,0.41875,-0.16564,-0.03641,2,1,2,2,2,2,2,2,2,2,2
-0.15951,-0.31443,-0.60821,0.03500,-0.18999,0.44736,-0.37211,0.38503,-0.50171,0.01560,2,2,1,2,2,2,2,2,2,2,2
-0.17202,-0.01638,-0.59385,0.37444,-0.36028,0.19064,-0.36735,0.08294,-0.06913,-0.40117,2,2,2,1,2,2,2,2,2,2,2
-0.34603,0.00882,-0.30462,0.28222,-0.38555,0.23111,-0.09592,-0.15981,0.08419,-0.25813,2,2,2,2,1,2,2,2,2,2,2
-0.39664,0.13831,-0.22359,0.04000,-0.51592,-0.12804,0.45238,-0.43156,0.04928,0.06697,2,2,2,2,2,1,2,2,2,2,2
-0.50185,0.05860,-0.02974,0.30333,-0.85548,-0.09200,0.35646,0.14160,0.42779,-0.04486,2,2,2,2,2,2,1,2,2,2,2
-0.71481,0.17234,0.30051,0.52222,-0.98029,-0.10149,0.01156,0.42481,0.51882,-0.10403,2,2,2,2,2,2,2,1,2,2,2
-0.52573,-0.16037,-0.35026,0.17111,-0.31379,0.52703,-0.21224,0.65273,0.22793,-0.02341,2,2,2,2,2,2,2,2,1,2,2
-0.56582,-0.03970,-0.61077,0.67778,0.12532,0.40942,-0.08571,0.24545,0.27173,-0.50520,2,2,2,2,2,2,2,2,2,1,2
-0.25647,-0.10712,-0.36513,0.14722,-0.47852,0.34556,-0.32857,0.55024,0.00137,-0.26723,2,2,2,2,2,2,2,2,2,2,1
-0.54308,-0.52457,-0.15333,0.77500,-0.00253,0.56687,-0.01973,0.20094,-0.25462,-0.55982,1,2,2,2,2,2,2,2,2,2,2
-0.41996,-0.44423,-0.30308,0.28889,-0.12127,0.80209,-0.09864,0.34862,-0.27310,-0.02926,2,1,2,2,2,2,2,2,2,2,2
-0.17287,-0.33081,-0.56872,0.03556,-0.17180,0.47139,-0.37415,0.42414,-0.50308,0.04031,2,2,1,2,2,2,2,2,2,2,2
-0.19164,-0.05451,-0.52256,0.42833,-0.33906,0.12362,-0.34354,0.10452,-0.08693,-0.38622,2,2,2,1,2,2,2,2,2,2,2
-0.41143,-0.00851,-0.30462,0.30556,-0.30874,0.30256,-0.19524,-0.11733,-0.04517,-0.27698,2,2,2,2,1,2,2,2,2,2,2
-0.38982,0.14871,-0.23846,0.05833,-0.57959,0.07240,0.26803,-0.40054,0.14990,-0.00845,2,2,2,2,2,1,2,2,2,2,2
-0.50583,0.08759,-0.14513,0.17500,-0.78929,0.02118,0.33265,0.10856,0.39562,-0.08127,2,2,2,2,2,2,1,2,2,2,2
-0.72334,0.16919,0.29385,0.42611,-1.00000,-0.12109,0.12721,0.42684,0.49076,-0.09818,2,2,2,2,2,2,2,1,2,2,2
-0.52659,-0.20227,-0.35385,0.24000,-0.27994,0.62504,-0.22449,0.77073,-0.08556,0.10078,2,2,2,2,2,2,2,2,1,2,2
-0.61842,-0.01260,-0.56872,0.67833,0.09702,0.49668,-0.28980,0.45314,0.03149,-0.55852,2,2,2,2,2,2,2,2,2,1,2
-0.27637,-0.12098,-0.33897,0.19444,-0.46387,0.31268,-0.34490,0.52259,0.01506,-0.36996,2,2,2,2,2,2,2,2,2,2,1
-0.68467,-0.53277,0.48769,0.01778,0.57251,0.43535,0.49660,-0.10384,-0.43258,-0.34200,1,2,2,2,2,2,2,2,2,2,2
0.09156,-0.60807,-0.23897,-0.43278,-0.16321,0.25008,0.49048,0.42684,0.48597,0.12029,2,1,2,2,2,2,2,2,2,2,2
-0.03469,-0.45432,-0.21026,-0.40667,0.11774,0.00285,0.14354,0.18341,-0.06023,-0.08062,2,2,1,2,2,2,2,2,2,2,2
-0.07393,-0.09609,-0.54154,-0.01167,0.00606,-0.45748,0.06871,0.08833,-0.02601,-0.22692,2,2,2,1,2,2,2,2,2,2,2
-0.27296,0.15438,0.27128,-0.17833,-0.46235,-0.27917,-0.02585,0.06136,0.43806,-0.15605,2,2,2,2,1,2,2,2,2,2,2
-0.17828,-0.18809,0.43949,-0.26444,-0.06569,-0.47076,-0.01837,-0.31895,0.68720,0.10663,2,2,2,2,2,1,2,2,2,2,2
-0.41143,0.44549,-0.23538,-0.43611,-0.02122,-0.66867,0.13878,0.29737,0.47844,-0.06827,2,2,2,2,2,2,1,2,2,2,2
-0.63890,0.45778,0.52462,-0.49833,-0.49116,-0.40752,0.24762,0.35131,0.05065,0.51365,2,2,2,2,2,2,2,1,2,2,2
-0.70145,0.32672,0.35590,-0.03056,-0.41435,-0.06608,0.10544,0.03169,0.49076,0.62744,2,2,2,2,2,2,2,2,1,2,2
-0.80353,0.10428,0.23026,0.06778,-0.19202,0.31647,0.18027,0.03506,0.21424,0.59233,2,2,2,2,2,2,2,2,2,1,2
-0.39636,-0.16100,0.30000,-0.33722,-0.09146,0.10402,0.07619,-0.17869,0.17317,0.00520,2,2,2,2,2,2,2,2,2,2,1
-0.73386,-0.54757,0.64872,0.15056,0.54977,0.33101,0.52925,-0.07889,-0.46201,-0.33355,1,2,2,2,2,2,2,2,2,2,2
0.01052,-0.58097,-0.26000,-0.39500,-0.08489,0.36390,0.47959,0.41133,0.30801,-0.01105,2,1,2,2,2,2,2,2,2,2,2
-0.00426,-0.44549,-0.21333,-0.40944,0.08489,0.02561,0.14422,0.25219,-0.05270,-0.11704,2,2,1,2,2,2,2,2,2,2,2
-0.07336,-0.13579,-0.42974,-0.15889,-0.00303,-0.36390,0.01361,0.09845,0.03696,-0.17425,2,2,2,1,2,2,2,2,2,2,2
-0.27751,0.25079,0.15692,-0.23278,-0.43759,-0.16408,-0.04762,0.17397,0.29911,-0.22107,2,2,2,2,1,2,2,2,2,2,2
-0.21240,-0.15280,0.47333,-0.40333,-0.01971,-0.52134,0.04558,-0.24612,0.64613,0.07542,2,2,2,2,2,1,2,2,2,2,2
-0.41285,0.37051,-0.07487,-0.23500,-0.27539,-0.50933,-0.13605,0.19285,0.77618,-0.13654,2,2,2,2,2,2,1,2,2,2,2
-0.62781,0.53119,0.44667,-0.58889,-0.47448,-0.31015,0.35918,0.41942,-0.02259,0.44018,2,2,2,2,2,2,2,1,2,2,2
-0.73159,0.34972,0.36359,-0.20167,-0.34310,-0.13500,0.11293,0.09171,0.33676,0.54486,2,2,2,2,2,2,2,2,1,2,2
-0.84049,0.17486,0.28205,0.16111,-0.32946,0.43535,0.13129,-0.10384,0.36550,0.27308,2,2,2,2,2,2,2,2,2,1,2
-0.37987,-0.22527,0.43641,-0.28444,-0.22385,0.13879,0.28571,-0.22050,-0.04723,0.14109,2,2,2,2,2,2,2,2,2,2,1
-0.79016,-0.48110,0.71538,0.29333,0.46791,0.33291,0.48980,-0.27377,-0.50582,-0.31534,1,2,2,2,2,2,2,2,2,2,2
-0.04606,-0.57876,-0.24308,-0.34944,-0.00202,0.45242,0.43469,0.39447,0.20945,-0.10923,2,1,2,2,2,2,2,2,2,2,2
-0.08018,-0.47606,-0.21026,-0.35611,0.04194,0.12868,0.13197,0.19420,-0.11704,-0.13199,3,2,1,3,3,3,3,3,3,3,3
-0.06255,-0.13453,-0.41282,-0.22444,-0.03284,-0.31141,0.04898,0.02630,0.09788,-0.19701,2,2,2,1,2,2,2,2,2,2,2
-0.28604,0.29301,0.07590,-0.19944,-0.40930,-0.19317,-0.06871,0.22185,0.21971,-0.24902,2,2,2,2,1,2,2,2,2,2,2
-0.24453,-0.24669,0.49077,-0.22944,-0.25114,-0.45874,0.14422,-0.34862,0.55578,0.13979,2,2,2,2,2,1,2,2,2,2,2
-0.38669,0.37933,0.01231,-0.26444,-0.40627,-0.28233,-0.13741,0.18139,0.71458,-0.10793,2,2,2,2,2,2,1,2,2,2,2
-0.61018,0.58129,0.33744,-0.58167,-0.46387,-0.26336,0.54490,0.46190,-0.09788,0.36411,2,2,2,2,2,2,2,1,2,2,2
-0.74751,0.30025,0.47282,-0.10111,-0.47903,-0.19886,0.12653,0.05260,0.19370,0.51756,2,2,2,2,2,2,2,2,1,2,2
-0.84788,0.20069,0.31385,0.18833,-0.39666,0.47265,0.07891,-0.07687,0.27789,0.27178,2,2,2,2,2,2,2,2,2,1,2
-0.34916,-0.12098,0.27436,-0.41333,-0.15968,0.27727,0.30612,-0.24612,-0.13279,0.07087,2,2,2,2,2,2,2,2,2,2,1
-0.79130,-0.52111,0.83282,0.39833,0.41940,0.19696,0.33401,-0.30614,-0.71389,-0.24577,1,2,2,2,2,2,2,2,2,2,2
-0.05715,-0.60239,-0.22205,-0.30167,-0.00657,0.48277,0.37687,0.41740,0.13415,-0.07932,2,1,2,2,2,2,2,2,2,2,2
-0.07137,-0.48771,-0.26462,-0.34389,0.01415,0.11476,0.10544,0.21510,-0.08693,-0.06762,2,2,1,2,2,2,2,2,2,2,2
-0.06198,-0.10901,-0.47077,-0.22667,0.01516,-0.30066,0.02041,-0.01821,0.08556,-0.21586,2,2,2,1,2,2,2,2,2,2,2
-0.29286,0.34594,-0.01179,-0.26000,-0.40222,-0.12488,-0.00884,0.14160,0.20260,-0.31730,2,2,2,2,1,2,2,2,2,2,2
-0.19647,-0.20762,0.41487,-0.23944,-0.27489,-0.37022,0.00408,-0.25556,0.61328,0.14954,2,2,2,2,2,1,2,2,2,2,2
-0.39750,0.35098,0.11795,-0.22611,-0.40829,-0.34809,-0.10884,0.11935,0.75975,0.03251,2,2,2,2,2,2,1,2,2,2,2
-0.63207,0.50284,0.48513,-0.51222,-0.50632,-0.46064,0.45714,0.53068,-0.12047,0.38296,2,2,2,2,2,2,2,1,2,2,2
-0.72164,0.35759,0.49487,0.05889,-0.61950,-0.12425,0.13605,0.02832,0.19233,0.40897,2,2,2,2,2,2,2,2,1,2,2
-0.87148,0.25079,0.32872,0.17000,-0.32289,0.23301,0.18503,-0.17262,0.35661,0.29129,2,2,2,2,2,2,2,2,2,1,2
-0.35570,-0.05545,0.11538,-0.35000,-0.15109,0.38856,0.05510,-0.19690,0.11841,-0.27438,2,2,2,2,2,2,2,2,2,2,1
-0.74495,-0.63201,0.81077,0.44500,0.42193,0.01107,0.15306,-0.25826,-0.81451,-0.19831,1,2,2,2,2,2,2,2,2,2,2
-0.10122,-0.57813,-0.20564,-0.23778,0.11622,0.51565,0.31293,0.43493,0.08419,-0.16385,2,1,2,2,2,2,2,2,2,2,2
-0.03128,-0.46282,-0.23744,-0.45444,0.02729,0.06481,0.10272,0.30074,-0.08419,-0.04681,2,2,1,2,2,2,2,2,2,2,2
-0.08075,-0.11279,-0.48718,-0.27056,0.06215,-0.26905,0.00272,-0.06271,0.05407,-0.15540,2,2,2,1,2,2,2,2,2,2,2
-0.29969,0.41493,-0.22513,-0.33556,-0.32542,0.01612,0.02381,0.02225,0.13347,-0.44408,2,2,2,2,1,2,2,2,2,2,2
-0.18681,-0.11657,0.31949,-0.25889,-0.14047,-0.39235,-0.08844,-0.10587,0.68446,0.06762,2,2,2,2,2,1,2,2,2,2,2
-0.40119,0.32010,0.16923,-0.20000,-0.37847,-0.45811,-0.11020,0.04450,0.83847,0.05007,2,2,2,2,2,2,1,2,2,2,2
-0.65141,0.54001,0.57487,-0.45056,-0.48358,-0.58141,0.28231,0.46864,-0.00890,0.51495,2,2,2,2,2,2,2,1,2,2,2
-0.70117,0.45022,0.41641,0.00167,-0.57554,-0.03320,0.37415,-0.04653,0.29979,0.19181,2,2,2,2,2,2,2,2,1,2,2
-0.90589,0.36673,0.30615,0.02389,-0.21577,0.09580,0.21565,-0.07080,0.16769,0.38166,2,2,2,2,2,2,2,2,2,1,2
-0.39465,-0.08412,0.21487,-0.29889,-0.16978,0.27221,-0.01293,-0.17667,0.16290,-0.27438,2,2,2,2,2,2,2,2,2,2,1
-0.70060,-0.70636,0.73692,0.38833,0.35776,0.13247,0.31429,-0.34929,-0.93634,-0.23147,1,2,2,2,2,2,2,2,2,2,2
-0.21240,-0.53844,-0.14205,-0.07556,0.28247,0.56307,0.31429,0.38503,0.10062,-0.27438,2,1,2,2,2,2,2,2,2,2,2
0.00626,-0.49527,-0.15179,-0.53778,-0.10864,0.05975,0.16803,0.33176,0.01916,0.02146,2,2,1,2,2,2,2,2,2,2,2
-0.10151,-0.12350,-0.56615,-0.24944,0.02324,-0.25261,0.03129,-0.05462,0.00342,-0.10143,2,2,2,1,2,2,2,2,2,2,2
-0.31106,0.40769,-0.31026,-0.39111,-0.21829,-0.24565,0.23673,-0.07283,0.17864,-0.46554,2,2,2,2,1,2,2,2,2,2,2
-0.22604,-0.04001,0.18308,-0.30167,-0.10359,-0.38729,-0.08095,0.01146,0.64339,-0.09298,2,2,2,2,2,1,2,2,2,2,2
-0.38982,0.39036,0.03897,-0.34000,-0.30874,-0.49984,0.09184,0.05664,0.78782,-0.12289,2,2,2,2,2,2,1,2,2,2,2
-0.64515,0.64209,0.51436,-0.53056,-0.45174,-0.51186,0.20952,0.47067,0.08214,0.61118,2,2,2,2,2,2,2,1,2,2,2
-0.69434,0.52993,0.06667,-0.23833,-0.27236,0.18052,0.37959,-0.02225,0.31280,0.11053,2,2,2,2,2,2,2,2,1,2,2
-0.92408,0.44896,0.28308,-0.17333,-0.22486,0.19064,0.27483,0.07148,-0.20602,0.33355,2,2,2,2,2,2,2,2,2,1,2
