A1,A2,A3,A4,L1,L2,L3
-0.55556,0.25000,-0.86441,-0.91667,1.00000,0.00000,0.00000
-0.66667,-0.16667,-0.86441,-0.91667,1.00000,0.00000,0.00000
-0.77778,0.00000,-0.89831,-0.91667,1.00000,0.00000,0.00000
-0.83333,-0.08333,-0.83051,-0.91667,1.00000,0.00000,0.00000
-0.61111,0.33333,-0.86441,-0.91667,1.00000,0.00000,0.00000
-0.38889,0.58333,-0.76271,-0.75000,1.00000,0.00000,0.00000
-0.83333,0.16667,-0.86441,-0.83333,1.00000,0.00000,0.00000
-0.61111,0.16667,-0.83051,-0.91667,1.00000,0.00000,0.00000
-0.94444,-0.25000,-0.86441,-0.91667,1.00000,0.00000,0.00000
-0.66667,-0.08333,-0.83051,-1.00000,1.00000,0.00000,0.00000
-0.38889,0.41667,-0.83051,-0.91667,1.00000,0.00000,0.00000
-0.72222,0.16667,-0.79661,-0.91667,1.00000,0.00000,0.00000
-0.72222,-0.16667,-0.86441,-1.00000,1.00000,0.00000,0.00000
-1.00000,-0.16667,-0.96610,-1.00000,1.00000,0.00000,0.00000
-0.16667,0.66667,-0.93220,-0.91667,0.99200,0.00800,0.00000
-0.22222,1.00000,-0.83051,-0.75000,0.99600,0.00400,0.00000
-0.38889,0.58333,-0.89831,-0.75000,1.00000,0.00000,0.00000
-0.55556,0.25000,-0.86441,-0.83333,1.00000,0.00000,0.00000
-0.22222,0.50000,-0.76271,-0.83333,0.99600,0.00400,0.00000
-0.55556,0.50000,-0.83051,-0.83333,1.00000,0.00000,0.00000
-0.38889,0.16667,-0.76271,-0.91667,0.99600,0.00400,0.00000
-0.55556,0.41667,-0.83051,-0.75000,1.00000,0.00000,0.00000
-0.83333,0.33333,-1.00000,-0.91667,1.00000,0.00000,0.00000
-0.55556,0.08333,-0.76271,-0.66667,1.00000,0.00000,0.00000
-0.72222,0.16667,-0.69492,-0.91667,1.00000,0.00000,0.00000
-0.61111,-0.16667,-0.79661,-0.91667,0.99800,0.00200,0.00000
-0.61111,0.16667,-0.79661,-0.75000,1.00000,0.00000,0.00000
-0.50000,0.25000,-0.83051,-0.91667,1.00000,0.00000,0.00000
-0.50000,0.16667,-0.86441,-0.91667,1.00000,0.00000,0.00000
-0.77778,0.00000,-0.79661,-0.91667,1.00000,0.00000,0.00000
-0.72222,-0.08333,-0.79661,-0.91667,1.00000,0.00000,0.00000
-0.38889,0.16667,-0.83051,-0.75000,0.99600,0.00400,0.00000
-0.50000,0.75000,-0.83051,-1.00000,1.00000,0.00000,0.00000
-0.33333,0.83333,-0.86441,-0.91667,0.99800,0.00200,0.00000
-0.66667,-0.08333,-0.83051,-1.00000,1.00000,0.00000,0.00000
-0.61111,0.00000,-0.93220,-0.91667,1.00000,0.00000,0.00000
-0.33333,0.25000,-0.89831,-0.91667,0.97200,0.02800,0.00000
-0.66667,-0.08333,-0.83051,-1.00000,1.00000,0.00000,0.00000
-0.94444,-0.16667,-0.89831,-0.91667,1.00000,0.00000,0.00000
-0.55556,0.16667,-0.83051,-0.91667,1.00000,0.00000,0.00000
-0.61111,0.25000,-0.89831,-0.83333,1.00000,0.00000,0.00000
-0.88889,-0.75000,-0.89831,-0.83333,0.98800,0.01200,0.00000
-0.94444,0.00000,-0.89831,-0.91667,1.00000,0.00000,0.00000
-0.61111,0.25000,-0.79661,-0.58333,1.00000,0.00000,0.00000
-0.55556,0.50000,-0.69492,-0.75000,1.00000,0.00000,0.00000
-0.72222,-0.16667,-0.86441,-0.83333,1.00000,0.00000,0.00000
-0.55556,0.50000,-0.79661,-0.91667,1.00000,0.00000,0.00000
-0.83333,0.00000,-0.86441,-0.91667,1.00000,0.00000,0.00000
-0.44444,0.41667,-0.83051,-0.91667,1.00000,0.00000,0.00000
-0.61111,0.08333,-0.86441,-0.91667,1.00000,0.00000,0.00000
0.50000,0.00000,0.25424,0.08333,0.00000,0.99000,0.01000
0.16667,0.00000,0.18644,0.16667,0.00000,1.00000,0.00000
0.44444,-0.08333,0.32203,0.16667,0.00000,0.91200,0.08800
-0.33333,-0.75000,0.01695,0.00000,0.00000,1.00000,0.00000
0.22222,-0.33333,0.22034,0.16667,0.00000,0.98600,0.01400
-0.22222,-0.33333,0.18644,0.00000,0.00000,1.00000,0.00000
0.11111,0.08333,0.25424,0.25000,0.00000,0.98200,0.01800
-0.66667,-0.66667,-0.22034,-0.25000,0.00200,0.90600,0.09200
0.27778,-0.25000,0.22034,0.00000,0.00000,1.00000,0.00000
-0.50000,-0.41667,-0.01695,0.08333,0.00000,0.98800,0.01200
-0.61111,-1.00000,-0.15254,-0.25000,0.00000,0.97400,0.02600
-0.11111,-0.16667,0.08475,0.16667,0.00000,1.00000,0.00000
-0.05556,-0.83333,0.01695,-0.25000,0.00000,0.98000,0.02000
-0.00000,-0.25000,0.25424,0.08333,0.00000,1.00000,0.00000
-0.27778,-0.25000,-0.11864,0.00000,0.00000,1.00000,0.00000
0.33333,-0.08333,0.15254,0.08333,0.00000,1.00000,0.00000
-0.27778,-0.16667,0.18644,0.16667,0.00000,1.00000,0.00000
-0.16667,-0.41667,0.05085,-0.25000,0.00000,1.00000,0.00000
0.05556,-0.83333,0.18644,0.16667,0.00000,0.95000,0.05000
-0.27778,-0.58333,-0.01695,-0.16667,0.00000,1.00000,0.00000
-0.11111,0.00000,0.28814,0.41667,0.00000,0.65800,0.34200
-0.00000,-0.33333,0.01695,0.00000,0.00000,0.99800,0.00200
0.11111,-0.58333,0.32203,0.16667,0.00000,0.82600,0.17400
-0.00000,-0.33333,0.25424,-0.08333,0.00000,0.99800,0.00200
0.16667,-0.25000,0.11864,0.00000,0.00000,1.00000,0.00000
0.27778,-0.16667,0.15254,0.08333,0.00000,1.00000,0.00000
0.38889,-0.33333,0.28814,0.08333,0.00000,0.95000,0.05000
0.33333,-0.16667,0.35593,0.33333,0.00000,0.72600,0.27400
-0.05556,-0.25000,0.18644,0.16667,0.00000,0.99600,0.00400
-0.22222,-0.50000,-0.15254,-0.25000,0.00000,1.00000,0.00000
-0.33333,-0.66667,-0.05085,-0.16667,0.00000,1.00000,0.00000
-0.33333,-0.66667,-0.08475,-0.25000,0.00000,1.00000,0.00000
-0.16667,-0.41667,-0.01695,-0.08333,0.00000,1.00000,0.00000
-0.05556,-0.41667,0.38983,0.25000,0.00000,0.71800,0.28200
-0.38889,-0.16667,0.18644,0.16667,0.00800,0.98000,0.01200
-0.05556,0.16667,0.18644,0.25000,0.01000,0.98200,0.00800
0.33333,-0.08333,0.25424,0.16667,0.00000,1.00000,0.00000
0.11111,-0.75000,0.15254,0.00000,0.00000,0.99200,0.00800
-0.27778,-0.16667,0.05085,0.00000,0.00000,1.00000,0.00000
-0.33333,-0.58333,0.01695,0.00000,0.00000,1.00000,0.00000
-0.33333,-0.50000,0.15254,-0.08333,0.00000,0.99600,0.00400
-0.00000,-0.16667,0.22034,0.08333,0.00000,1.00000,0.00000
-0.16667,-0.50000,0.01695,-0.08333,0.00000,1.00000,0.00000
-0.61111,-0.75000,-0.22034,-0.25000,0.00000,0.98800,0.01200
-0.27778,-0.41667,0.08475,0.00000,0.00000,1.00000,0.00000
-0.22222,-0.16667,0.08475,-0.08333,0.00000,1.00000,0.00000
-0.22222,-0.25000,0.08475,0.00000,0.00000,1.00000,0.00000
0.05556,-0.25000,0.11864,0.00000,0.00000,0.99600,0.00400
-0.55556,-0.58333,-0.32203,-0.16667,0.00400,0.99000,0.00600
-0.22222,-0.33333,0.05085,0.00000,0.00000,1.00000,0.00000
0.11111,0.08333,0.69492,1.00000,0.00000,0.00000,1.00000
-0.16667,-0.41667,0.38983,0.50000,0.00000,0.01200,0.98800
0.55556,-0.16667,0.66102,0.66667,0.00000,0.00000,1.00000
0.11111,-0.25000,0.55932,0.41667,0.00000,0.00000,1.00000
0.22222,-0.16667,0.62712,0.75000,0.00000,0.00000,1.00000
0.83333,-0.16667,0.89831,0.66667,0.00000,0.00000,1.00000
-0.66667,-0.58333,0.18644,0.33333,0.00200,0.38800,0.61000
0.66667,-0.25000,0.79661,0.41667,0.00000,0.00400,0.99600
0.33333,-0.58333,0.62712,0.41667,0.00000,0.01200,0.98800
0.61111,0.33333,0.72881,1.00000,0.00000,0.00000,1.00000
0.22222,0.00000,0.38983,0.58333,0.00000,0.00800,0.99200
0.16667,-0.41667,0.45763,0.50000,0.00000,0.00200,0.99800
0.38889,-0.16667,0.52542,0.66667,0.00000,0.00000,1.00000
-0.22222,-0.58333,0.35593,0.58333,0.00000,0.02000,0.98000
-0.16667,-0.33333,0.38983,0.91667,0.00000,0.00400,0.99600
0.16667,0.00000,0.45763,0.83333,0.00000,0.00000,1.00000
0.22222,-0.16667,0.52542,0.41667,0.00000,0.00200,0.99800
0.88889,0.50000,0.93220,0.75000,0.00000,0.00000,1.00000
0.88889,-0.50000,1.00000,0.83333,0.00000,0.00200,0.99800
-0.05556,-0.83333,0.35593,0.16667,0.00000,0.29800,0.70200
0.44444,0.00000,0.59322,0.83333,0.00000,0.00000,1.00000
-0.27778,-0.33333,0.32203,0.58333,0.00000,0.06600,0.93400
0.88889,-0.33333,0.93220,0.58333,0.00000,0.00000,1.00000
0.11111,-0.41667,0.32203,0.41667,0.00000,0.02200,0.97800
0.33333,0.08333,0.59322,0.66667,0.00000,0.00200,0.99800
0.61111,0.00000,0.69492,0.41667,0.00000,0.01000,0.99000
0.05556,-0.33333,0.28814,0.41667,0.00000,0.07600,0.92400
-0.00000,-0.16667,0.32203,0.41667,0.00000,0.01600,0.98400
0.16667,-0.33333,0.55932,0.66667,0.00000,0.00000,1.00000
0.61111,-0.16667,0.62712,0.25000,0.00000,0.19400,0.80600
0.72222,-0.33333,0.72881,0.50000,0.00000,0.00000,1.00000
1.00000,0.50000,0.83051,0.58333,0.00000,0.00000,1.00000
0.16667,-0.33333,0.55932,0.75000,0.00000,0.00000,1.00000
0.11111,-0.33333,0.38983,0.16667,0.00000,0.23600,0.76400
-0.00000,-0.50000,0.55932,0.08333,0.00000,0.20800,0.79200
0.88889,-0.16667,0.72881,0.83333,0.00000,0.00000,1.00000
0.11111,0.16667,0.55932,0.91667,0.00000,0.00000,1.00000
0.16667,-0.08333,0.52542,0.41667,0.00000,0.00000,1.00000
-0.05556,-0.16667,0.28814,0.41667,0.00000,0.17600,0.82400
0.44444,-0.08333,0.49153,0.66667,0.00000,0.00000,1.00000
0.33333,-0.08333,0.55932,0.91667,0.00000,0.00000,1.00000
0.44444,-0.08333,0.38983,0.83333,0.00000,0.01800,0.98200
-0.16667,-0.41667,0.38983,0.50000,0.00000,0.01200,0.98800
0.38889,0.00000,0.66102,0.83333,0.00000,0.00000,1.00000
0.33333,0.08333,0.59322,1.00000,0.00000,0.00000,1.00000
0.33333,-0.16667,0.42373,0.83333,0.00000,0.00000,1.00000
0.11111,-0.58333,0.35593,0.50000,0.00000,0.00800,0.99200
0.22222,-0.16667,0.42373,0.58333,0.00000,0.00000,1.00000
0.05556,0.16667,0.49153,0.83333,0.00000,0.00800,0.99200
-0.11111,-0.16667,0.38983,0.41667,0.00000,0.04600,0.95400
